dossierid,lat,lon,dist_m,value_schilling,in_kind_share,n_docs
HGB_1_001_004,47.5493,7.59196,933.7635452961542,,,1
HGB_1_001_005,47.549397,7.592148,927.0728975983077,1005.0,0.11458333333333333,17
HGB_1_001_022,47.553236,7.592621,547.1880032261414,550.0,0.0,7
HGB_1_001_027,47.550545,7.593196,833.1651181741166,1204.0,0.0,10
HGB_1_001_028,47.550463,7.593097,838.6668519925043,150.0,0.0,5
HGB_1_001_029,47.550381,7.592998,844.2970715668074,1260.0,0.08333333333333333,6
HGB_1_001_034,47.550135,7.592561,858.1698456978952,1464.0,0.0,6
HGB_1_001_036,47.550035,7.592486,866.9011438739244,1232.5,0.0,8
HGB_1_001_038,47.549925,7.592308,874.3686654568457,442.5,0.0,3
HGB_1_001_039,47.549631,7.591616,891.6820906252798,52.5,0.16666666666666666,2
HGB_1_001_040,47.549472,7.59107,900.1493326911891,2037.0,0.25,2
HGB_1_002_016,47.553604,7.592362,502.2700680031205,828.0,0.0,2
HGB_1_002_017,47.552549,7.593475,646.2227882619152,,,4
HGB_1_002_018,47.552508,7.593384,646.3392608353198,1180.0,0.0,2
HGB_1_002_021,47.553779,7.59232,484.1417818335247,1580.0,0.0,3
HGB_1_002_022,47.553834,7.592463,485.1064983509955,9150.0,0.0,11
HGB_1_002_023,47.553712,7.592362,492.1265367317323,2420.0,0.0,27
HGB_1_002_024,47.553614,7.592476,505.9185921401586,262.0,0.0,32
HGB_1_002_025,47.553517,7.592579,519.2282536350532,150.0,0.07303921568627451,43
HGB_1_002_026,47.55346,7.592641,527.1004532615865,76.0,0.013333333333333332,25
HGB_1_002_027,47.553394,7.592712,536.1442833848075,200.0,0.0,46
HGB_1_002_028,47.553289,7.592816,550.2155034873798,1455.25,0.019230769230769232,37
HGB_1_002_029,47.553342,7.592764,543.1798919296207,3630.0,0.125,2
HGB_1_002_030,47.553148,7.592939,568.352165198757,7459.5,0.0,2
HGB_1_002_031,47.553183,7.592908,563.8178568684447,2100.0,0.0,8
HGB_1_002_032,47.553148,7.592939,568.352165198757,486.5,0.009523809523809525,23
HGB_1_002_033,47.553183,7.592908,563.8178568684447,23.0,0.009199134199134198,52
HGB_1_002_035,47.553123,7.592959,571.5686175571041,450.0,0.11538461538461539,20
HGB_1_002_036,47.553046,7.59302,581.2187228103968,863.0,0.090625,26
HGB_1_002_037,47.553007,7.593057,586.3298192909702,100.0,0.0,40
HGB_1_002_038,47.552969,7.593081,590.8890948259835,897.5,0.0,16
HGB_1_002_039,47.55293,7.593109,595.6978146155342,200.0,0.0,24
HGB_1_002_040,47.552893,7.593138,600.3265831314129,867.875,0.0,22
HGB_1_002_045,47.552835,7.593193,608.0208259153756,103.0,0.0,32
HGB_1_002_046,47.552792,7.59323,613.5373617426977,386.5,0.10512820512820513,36
HGB_1_002_047,47.552752,7.593266,618.6779164904077,40.0,0.015517241379310345,35
HGB_1_002_048,47.552702,7.593312,625.2536258123193,1260.0,0.0,17
HGB_1_002_049,47.552642,7.593362,632.8812967886435,1320.5,0.0375,24
HGB_1_002_050,47.552592,7.593406,639.3462005329477,336.5,0.08425324675324676,30
HGB_1_002_051,47.552485,7.593503,653.2651243108211,93.0,0.0,17
HGB_1_002_052,47.552447,7.593538,658.2957351625632,230.0,0.011666666666666665,61
HGB_1_002_053,47.55242,7.593572,662.1996059826059,1267.3333333333333,0.03888888888888888,23
HGB_1_002_054,47.552391,7.59361,666.4935857259572,430.0,0.13888888888888887,21
HGB_1_002_055,47.552307,7.593711,678.4816722510593,9000.0,0.0,16
HGB_1_002_056,47.552328,7.593686,675.4844199989149,18000.0,0.0,5
HGB_1_002_057,47.552285,7.593739,681.6631364293474,24000.0,0.0,4
HGB_1_002_058,47.552307,7.593711,678.4816722510593,44.5,0.3108974358974359,16
HGB_1_002_059,47.552307,7.593711,678.4816722510593,6012.0,0.0,2
HGB_1_002_060,47.552307,7.593711,678.4816722510593,7504.0,0.0,7
HGB_1_002_061,47.552307,7.593711,678.4816722510593,636.5,0.0,3
HGB_1_002_062,47.552307,7.593711,678.4816722510593,15720.0,0.0,2
HGB_1_002_063,47.55222,7.593824,691.2094742401817,17050.0,0.0,3
HGB_1_002_064,47.552198,7.59386,694.6830938416884,765.0,0.0,17
HGB_1_002_065,47.552177,7.593896,698.157967531547,46520.0,0.0,3
HGB_1_002_067,47.552146,7.593942,702.989202279804,18000.0,0.0,7
HGB_1_002_068,47.552118,7.59398,707.0995708692578,,,2
HGB_1_002_069,47.552083,7.594031,712.5048200241115,36.666666666666664,0.0,6
HGB_1_002_070,47.552089,7.594018,711.4191426862213,,,1
HGB_1_002_071,47.552042,7.594096,718.9982166878339,,,3
HGB_1_002_072,47.552098,7.59424,719.9321908550165,191.5,0.0,16
HGB_1_002_073,47.55201,7.594146,724.0071698142723,43500.0,0.0,10
HGB_1_002_074,47.552025,7.594339,730.830504400745,21.0,0.0,1
HGB_1_002_075,47.552065,7.594057,715.2079895738985,,,1
HGB_1_002_076,47.551973,7.594205,729.9155408793215,980.0,0.0,29
HGB_1_002_077,47.551892,7.59432,742.2358936699446,8526.5,0.0,5
HGB_1_002_078,47.551849,7.594383,748.8379212451044,1725.0,0.0,5
HGB_1_002_079,47.551871,7.594351,745.5366452819419,331.25,0.0,26
HGB_1_002_080,47.551849,7.594383,748.8379212451044,23.0,0.0,17
HGB_1_002_081,47.551796,7.594461,757.0456298346949,1651.25,0.0,22
HGB_1_002_083,47.551686,7.59466,775.602405439621,745.0,0.0,23
HGB_1_002_085,47.553564,7.59225,501.5248806255273,128.0,0.17777777777777778,44
HGB_1_002_086,47.553474,7.592366,514.6570718865923,330.0,0.06899641577060932,51
HGB_1_002_087,47.553414,7.592438,523.2306820772008,20.0,0.09801071943929086,85
HGB_1_002_089,47.553323,7.592541,535.8154829914107,80.0,0.011904761904761904,32
HGB_1_002_090,47.553278,7.592584,541.7894130748538,1080.0,0.0807017543859649,25
HGB_1_002_091,47.553236,7.592621,547.1880032261414,104.5,0.024509803921568624,40
HGB_1_002_092,47.553198,7.592661,552.4238299435514,90.0,0.12546661060406947,79
HGB_1_002_093,47.553159,7.592694,557.4062889897677,450.0,0.03125,21
HGB_1_002_095,47.553091,7.592756,566.2696752403406,2182.0,0.04206349206349206,31
HGB_1_002_096,47.55302,7.592819,575.4760080494393,191.0,0.017857142857142856,38
HGB_1_002_097,47.552959,7.592866,583.1734468473063,17.25,0.01059322033898305,131
HGB_1_002_098,47.552861,7.592951,595.7226237027469,50.0,0.14114774114774115,97
HGB_1_002_099,47.5529,7.592911,590.4922315492747,2562.0,0.20238095238095236,27
HGB_1_002_100,47.552796,7.592931,601.1489031765858,1350.0,0.1875,15
HGB_1_002_101,47.552773,7.592983,605.3973817541307,7.0,0.0,9
HGB_1_002_102,47.552745,7.59302,609.5079175534562,11.0,0.0,22
HGB_1_002_103,47.552759,7.593001,607.4525423185005,50.0,0.05218332392245436,53
HGB_1_002_104,47.552707,7.593052,614.3880480703111,37.5,0.19333333333333333,32
HGB_1_002_105,47.552665,7.593091,619.8446361503997,190.0,0.04716117216117217,28
HGB_1_002_106,47.552615,7.593142,626.5926428759826,1222.5,0.06403061224489795,33
HGB_1_002_107,47.552563,7.5932,633.8274756547157,115.0,0.0,28
HGB_1_002_108,47.552513,7.593242,640.232342393658,1120.0,0.014285714285714287,20
HGB_1_002_109,47.552474,7.593296,646.0585519972736,40.0,0.02247327502429543,54
HGB_1_002_110,47.552364,7.593412,660.9668171467115,111.5,0.0,35
HGB_1_002_111,47.552231,7.593558,679.3571980565598,23.0,0.0125,17
HGB_1_002_112,47.552282,7.593503,672.38801515173,120.0,0.1518898508898509,88
HGB_1_002_113,47.552198,7.593593,683.9095235488862,37.5,0.041666666666666664,26
HGB_1_002_114,47.552214,7.593576,681.6803479812553,30.0,0.031746031746031744,23
HGB_1_002_115,47.552149,7.593644,690.597163523558,1735.25,0.04642857142857143,18
HGB_1_002_116,47.552071,7.593735,701.5483069031858,750.0,0.22916666666666666,35
HGB_1_002_117,47.55197,7.593877,716.7432579424819,2334.5,0.13111111111111112,13
HGB_1_002_118,47.551951,7.59391,719.8775692290614,11.75,0.265625,35
HGB_1_002_119,47.551931,7.593943,723.0131648978205,,,2
HGB_1_002_120,47.551887,7.594017,730.1412656957056,44.0,0.09347826086956522,28
HGB_1_002_121,47.551848,7.594075,736.1340257190566,126.0,0.03623188405797101,28
HGB_1_002_122,47.551806,7.594138,742.719759611049,30.0,0.029017857142857144,41
HGB_1_002_123,47.551761,7.59421,749.8325678568344,100.0,0.023809523809523808,18
HGB_1_002_124,47.551725,7.594264,755.3407154572071,70.0,0.0,10
HGB_1_002_125,47.551708,7.594289,757.9959748076964,6021.0,0.0,4
HGB_1_002_126,47.551691,7.594315,760.6516960942913,3600.0,0.0,15
HGB_1_002_127,47.551658,7.594359,765.5480126096077,46.0,0.0,10
HGB_1_002_128,47.551642,7.594374,767.6526041003923,92.0,0.0,23
HGB_1_002_129,47.551626,7.59439,769.7571958607285,92.0,0.0,18
HGB_1_002_130,47.551586,7.594446,775.826893461024,4570.0,0.0,3
HGB_1_002_131,47.551556,7.594485,780.1805812263158,2520.0,0.015873015873015872,15
HGB_1_002_132,47.551526,7.594523,784.5346962791349,10550.0,0.0,6
HGB_1_002_133,47.5515,7.594759,796.8495789739821,40.0,0.0,7
HGB_1_004_005,47.552252,7.60009,1026.3973961365468,,,1
HGB_1_005_005,47.55172,7.596848,877.1460625631944,120.0,0.0,2
HGB_1_005_006,47.55468,7.594621,534.2050266664536,,,7
HGB_1_005_007,47.552253,7.599411,984.4152254525115,,,1
HGB_1_005_008,47.552322,7.600412,1042.359366508758,400.0,0.0,13
HGB_1_005_010,47.55405,7.592367,461.3113394139579,20.0,0.0,4
HGB_1_005_014,47.553872,7.592564,486.00344602867284,2012.5,0.0,4
HGB_1_005_015,47.553977,7.592868,490.6121491203511,15650.0,0.009090909090909092,32
HGB_1_005_016,47.554062,7.593137,496.3937092744316,2500.0,0.0,28
HGB_1_005_017,47.554105,7.593305,501.259173882985,600.0,0.0,24
HGB_1_005_018,47.554133,7.593404,504.0865291242635,1.0,0.0,13
HGB_1_005_021,47.554173,7.593532,507.6242886492763,260.0,0.6666666666666666,6
HGB_1_005_022,47.554202,7.593597,508.82110981871085,6040.0,0.0,9
HGB_1_005_023,47.554231,7.593663,510.083067702318,1380.0,0.0,4
HGB_1_005_025,47.554192,7.593918,526.994652911889,6000.0,0.0,27
HGB_1_005_026,47.554398,7.59419,527.3041410816686,6.0,0.0,6
HGB_1_005_028,47.554442,7.594324,532.0584933206273,600.0,0.0,12
HGB_1_005_030,47.554586,7.594727,546.7614952075219,157.5,0.0,19
HGB_1_006_004,47.554134,7.601337,1012.5690713157534,,,1
HGB_1_006_006,47.553672,7.602455,1109.7356576402606,60.0,0.0,2
HGB_1_006_007,47.553906,7.602054,1072.1013068235216,240.0,0.0,1
HGB_1_006_010,47.554294,7.60135,1007.1798057417009,2.0,0.39385342789598105,60
HGB_1_006_012,47.554403,7.601279,998.0390230306119,10.0,0.14285714285714285,18
HGB_1_008_008,47.554054,7.603275,1152.718271785263,7.0,0.10340136054421768,81
HGB_1_008_009,47.554054,7.603275,1152.718271785263,20.0,0.0,4
HGB_1_008_011,47.554054,7.603275,1152.718271785263,,,1
HGB_1_008_014,47.554144,7.603383,1157.1651990294245,12.5,0.5625,13
HGB_1_008_015,47.554063,7.603396,1160.9979324651047,340.0,0.4666666666666666,4
HGB_1_008_016,47.554132,7.603286,1150.6955411157444,,,1
HGB_1_008_017,47.554798,7.601426,994.7131946880511,4.5,0.44030303030303025,73
HGB_1_008_018,47.554932,7.602908,1097.9858216718096,,,2
HGB_1_008_019,47.554881,7.603159,1117.7548054920683,96.0,0.06818181818181818,28
HGB_1_008_020,47.554894,7.603096,1112.8125112165574,10.0,0.3333333333333333,7
HGB_1_008_021,47.554968,7.603177,1116.6353659370309,1061.75,0.225,3
HGB_1_008_022,47.554881,7.603159,1117.7548054920683,712.5,0.2708333333333333,5
HGB_1_008_024,47.554903,7.603397,1134.4551391897085,3877.5,0.5958333333333333,88
HGB_1_008_025,47.555014,7.603525,1140.8280606337457,1350.0,0.38333333333333336,14
HGB_1_008_026,47.554829,7.603452,1140.5582867151768,4.333333333333333,0.20294117647058824,38
HGB_1_008_027,47.554856,7.603431,1138.20491801146,96.5,0.22333333333333333,7
HGB_1_008_028,47.554809,7.603462,1141.8288553875216,560.5000000000001,0.1,4
HGB_1_008_029,47.554816,7.60375,1162.622004682867,,,1
HGB_1_008_030,47.555023,7.603715,1154.494992158467,56.5,0.025976800976800978,46
HGB_1_008_031,47.554737,7.603511,1147.4431129575914,125.0,0.09791182995408347,91
HGB_1_008_032,47.554737,7.603511,1147.4431129575914,6.0,0.0,3
HGB_1_008_033,47.554723,7.603174,1123.3631083406885,410.0,0.2064814814814815,31
HGB_1_008_034,47.554407,7.603224,1136.8553557422897,65.0,0.10676847662141781,68
HGB_1_008_035,47.554419,7.603535,1158.849183911032,24.5,0.1240251811680383,77
HGB_1_008_036,47.554193,7.604003,1199.9300593557482,242.0,0.0,1
HGB_1_008_037,47.553993,7.604037,1209.193027111582,640.0,0.0,1
HGB_1_008_038,47.553756,7.604042,1218.116124966011,8.0,0.46888888888888886,16
HGB_1_008_040,47.553498,7.603602,1197.0901214290157,0.5,0.0303030303030303,25
HGB_1_008_041,47.554705,7.601427,997.9268784353711,5.041666666666667,0.3926767676767677,84
HGB_1_008_042,47.554543,7.601497,1008.4965357349112,17.25,0.4018518518518518,59
HGB_1_008_043,47.554735,7.601572,1007.3099043599186,1.75,0.0,39
HGB_1_008_044,47.554808,7.601873,1026.6158887959791,1.5,0.09848484848484848,28
HGB_1_008_045,47.554817,7.602005,1035.8825711671104,3.0,0.02631578947368421,42
HGB_1_008_046,47.554815,7.601972,1033.5646667713759,11.25,0.05434782608695652,24
HGB_1_008_047,47.554818,7.602038,1038.261377033294,1.0,0.22435897435897434,17
HGB_1_008_048,47.554823,7.602139,1045.4023031569552,3.5,0.07246376811594202,24
HGB_1_008_049,47.554833,7.602307,1057.2927422522296,10.25,0.07393162393162392,32
HGB_1_008_050,47.554841,7.602479,1069.467967650908,2.0,0.08888888888888888,32
HGB_1_008_051,47.554844,7.602657,1082.2675794062916,12.0,0.07317073170731707,50
HGB_1_008_053,47.554849,7.602838,1095.328476306042,6.5,0.1090311986863711,33
HGB_1_008_055,47.554845,7.602968,1104.8723102171973,2.0,0.1264367816091954,30
HGB_1_008_056,47.554786,7.603032,1111.201350527732,3.583333333333333,0.15166666666666667,23
HGB_1_008_057,47.554677,7.602978,1110.5722080165542,1.0,0.07063492063492063,23
HGB_1_008_058,47.55443,7.603078,1125.6373041671386,8.583333333333332,0.06970443349753694,33
HGB_1_008_059,47.554568,7.60301,1116.2887547872892,3600.0,0.0,2
HGB_1_008_062,47.553973,7.603101,1143.2870079169918,12.0,0.14285714285714285,9
HGB_1_008_064,47.553889,7.603525,1176.4916357264428,6.0,0.09851190476190476,38
HGB_1_008_066,47.553594,7.603353,1175.722014997544,205.0,0.25925925925925924,32
HGB_1_008_068,47.553567,7.602917,1146.3157035664387,9700.0,0.0,3
HGB_1_008_069,47.553584,7.602725,1132.2252967909606,,,1
HGB_1_009_001,47.556166,7.594363,441.96222063725656,,,3
HGB_1_010_015,47.554392,7.597888,763.0428698278948,,,4
HGB_1_010_016,47.553315,7.603141,1172.6133824481649,,,4
HGB_1_010_017,47.554195,7.598838,836.9698116166625,,,1
HGB_1_010_018,47.554256,7.59842,805.667076801715,5.0,0.0,2
HGB_1_010_019,47.554294,7.598365,800.1147240308683,24.0,0.049107142857142856,22
HGB_1_010_021,47.55412,7.599211,865.8967561613663,4.0,0.0,6
HGB_1_010_023,47.554079,7.599399,880.6904405423566,40.0,0.09615384615384616,50
HGB_1_010_025,47.554548,7.596968,693.4055142690205,6114.625,0.0,4
HGB_1_010_027,47.554021,7.599685,902.904999694616,,,11
HGB_1_010_028,47.553822,7.600678,980.1486355752041,3811.0,0.06758241758241758,20
HGB_1_010_029,47.554003,7.59977,909.5538796098174,42.0,0.16666666666666666,4
HGB_1_010_030,47.554791,7.594946,547.7681025781037,15.0,0.0744047619047619,86
HGB_1_010_031,47.554774,7.595083,557.5533165175337,0.25,0.0784313725490196,24
HGB_1_010_032,47.554769,7.595157,562.6023936437609,0.25,0.2037878787878788,27
HGB_1_010_033,47.55476,7.595268,570.1945179333762,60.0,0.03231292517006803,25
HGB_1_010_034,47.554755,7.59534,575.1520963521019,63000.0,0.0,6
HGB_1_010_035,47.55475,7.595413,580.1193230743199,13.166666666666666,0.1763888888888889,29
HGB_1_010_036,47.554744,7.595502,586.2827716403848,0.5,0.26904761904761904,49
HGB_1_010_037,47.554737,7.595593,592.5134182875257,3.833333333333333,0.10353302611367128,37
HGB_1_010_038,47.554731,7.5957,599.8048786548363,63.75,0.4,33
HGB_1_010_039,47.554723,7.595802,606.9462736626596,3.5,0.1342436974789916,38
HGB_1_010_040,47.554715,7.595952,617.2809910424844,25.75,0.03333333333333333,37
HGB_1_010_041,47.554717,7.595915,614.6939337917015,5.833333333333333,0.3333333333333333,1
HGB_1_010_042,47.554717,7.595915,614.6939337917015,7.0,0.0,6
HGB_1_010_043,47.55471,7.596016,621.7690544559813,498.6666666666667,0.3666666666666667,3
HGB_1_010_044,47.55471,7.596016,621.7690544559813,,,2
HGB_1_010_045,47.554717,7.595915,614.6939337917015,12.0,0.2273809523809524,19
HGB_1_010_046,47.55471,7.596016,621.7690544559813,390.0,0.0803030303030303,33
HGB_1_010_047,47.554694,7.596208,635.2652736953039,10.0,0.05276705276705276,50
HGB_1_010_048,47.554699,7.596144,630.761309933745,5.5,0.3,5
HGB_1_010_049,47.554694,7.596208,635.2652736953039,7.5,0.2791666666666667,8
HGB_1_010_050,47.55469,7.596245,637.9298634209573,639.0,0.41428571428571426,9
HGB_1_010_051,47.554676,7.596355,645.9305154410214,19.0,0.15869565217391304,32
HGB_1_010_052,47.554666,7.59644,652.124693106037,3.3333333333333335,0.14444444444444443,39
HGB_1_010_054,47.554643,7.596645,666.9239164463668,0.25,0.0737179487179487,40
HGB_1_010_055,47.554656,7.59658,661.9753312092314,17.5,0.0,24
HGB_1_010_056,47.554865,7.596672,657.7104871207716,35.0,0.05284391534391534,40
HGB_1_010_057,47.554991,7.596724,655.3885937412177,72.0,0.045454545454545456,17
HGB_1_010_058,47.554668,7.596512,656.756258044997,61.0,0.1896551724137931,56
HGB_1_010_059,47.554628,7.596733,673.5848123778732,270.0,0.12936507936507938,27
HGB_1_010_060,47.554622,7.596802,678.5238327419114,4.5,0.040999999999999995,57
HGB_1_010_061,47.554616,7.596855,682.3345184543389,9.0,0.04814814814814815,51
HGB_1_010_062,47.554611,7.596915,686.6867609585755,6.0,0.15911564625850338,38
HGB_1_010_063,47.554615,7.597025,693.8207869825889,85.0,0.12878787878787878,27
HGB_1_010_064,47.554614,7.596998,692.0348829791221,1580.0,0.08333333333333333,3
HGB_1_010_065,47.554618,7.59705,695.3523297971526,349.25,0.041666666666666664,5
HGB_1_010_066,47.554625,7.597123,699.9566652868756,0.75,0.11231884057971016,33
HGB_1_010_067,47.55463,7.59718,703.5342136667056,5.0,0.06981132075471698,60
HGB_1_010_068,47.554639,7.597254,708.1498221885614,4.0,0.20252525252525252,42
HGB_1_010_069,47.55465,7.597348,713.8976098461932,2.0,0.12239583333333333,34
HGB_1_010_070,47.554663,7.597432,719.0698745066228,1.75,0.13983739837398373,46
HGB_1_010_071,47.554673,7.597506,723.5796622469485,2.0,0.03446428571428571,46
HGB_1_010_072,47.554634,7.598196,772.745736043927,44.0,0.0923076923076923,44
HGB_1_010_073,47.554634,7.598196,772.745736043927,4.0,0.08333333333333333,7
HGB_1_010_074,47.554496,7.597614,739.413817995991,1260.0,0.07142857142857142,13
HGB_1_010_075,47.554496,7.597614,739.413817995991,50.0,0.09222222222222223,63
HGB_1_010_079,47.554421,7.598002,769.3046062165632,29.0,0.21555555555555556,21
HGB_1_010_080,47.554391,7.598101,777.5143884994748,18.5,0.06524822695035461,51
HGB_1_010_081,47.554374,7.598186,784.1133250343446,6.0,0.11315378610460579,67
HGB_1_010_082,47.554363,7.598243,788.5093465036321,4.0,0.05520833333333333,56
HGB_1_010_083,47.554347,7.598304,793.3756703766622,12.0,0.05952380952380952,21
HGB_1_010_084,47.55433,7.5984,800.7026349894963,24.0,0.0,25
HGB_1_010_085,47.554339,7.598352,797.0388741238885,50.0,0.20833333333333331,32
HGB_1_010_086,47.554306,7.598515,809.7089812875413,40.0,0.11666666666666665,43
HGB_1_010_087,47.5542,7.59907,852.535722267705,,,2
HGB_1_010_088,47.554177,7.59917,860.4074973193843,47200.0,0.0,1
HGB_1_010_101,47.553249,7.603189,1178.8090098593361,300.0,0.0,5
HGB_1_010_102,47.554679,7.594996,557.6611750413224,800.0,0.0,2
HGB_1_010_103,47.554679,7.594996,557.6611750413224,4534.0,0.09615384615384616,24
HGB_1_010_104,47.554675,7.595029,559.9723477864769,3000.0,0.17592592592592593,10
HGB_1_010_106,47.554667,7.595094,564.5996854712441,335.0,0.17857142857142858,25
HGB_1_010_107,47.554659,7.595155,568.9432120633763,13.0,0.11574074074074073,22
HGB_1_010_108,47.554647,7.595239,575.0313666262655,100.0,0.0,28
HGB_1_010_109,47.554637,7.595329,581.3309498461971,1777.5,0.0,16
HGB_1_010_110,47.554624,7.595466,590.8049811498189,3388.5,0.017142857142857144,27
HGB_1_010_111,47.554614,7.595593,599.5713900303003,250.0,0.0,10
HGB_1_010_112,47.554616,7.595561,597.3773000358437,300.0,0.027777777777777776,21
HGB_1_010_113,47.554609,7.595637,602.656434965678,15.0,0.02222222222222222,21
HGB_1_010_114,47.554597,7.59577,611.9289419591306,1261.45,0.010416666666666666,20
HGB_1_010_115,47.554586,7.595891,620.4030629351596,170.0,0.023809523809523808,25
HGB_1_010_116,47.55458,7.596016,628.8390774425151,1082.5,0.0,12
HGB_1_010_117,47.554576,7.596086,633.6260373008256,97.5,0.020454545454545454,26
HGB_1_010_118,47.554572,7.596133,636.9166078435364,15.0,0.015476190476190477,68
HGB_1_010_119,47.554565,7.596194,641.266316836565,45.0,0.04730848861283644,50
HGB_1_010_120,47.554557,7.59629,648.0074369664644,84.0,0.03763440860215053,40
HGB_1_010_121,47.55455,7.596384,654.6100330747123,3.25,0.04555555555555556,41
HGB_1_010_122,47.554517,7.596612,671.3636423645916,30.0,0.0297979797979798,51
HGB_1_010_123,47.554517,7.596612,671.3636423645916,,,2
HGB_1_010_124,47.554495,7.596853,688.5196532884963,2310.0,0.038461538461538464,23
HGB_1_010_125,47.554452,7.597167,711.574747979048,54000.0,0.0,15
HGB_1_010_126,47.554443,7.597235,716.5592860653934,33.75,0.09382716049382715,30
HGB_1_010_127,47.554463,7.597088,705.8047577990136,4510.833333333333,0.0,6
HGB_1_010_128,47.554417,7.597438,731.5312512071936,2.0,0.005347593582887701,37
HGB_1_010_129,47.554397,7.597575,741.7077388565056,10.0,0.32759103641456583,41
HGB_1_010_130,47.55438,7.597681,749.6475980482204,146.0,0.007246376811594202,51
HGB_1_010_131,47.554372,7.597739,753.9610810463479,5470.25,0.0,11
HGB_1_010_132,47.554365,7.597785,757.3900955217111,0.5,0.0,4
HGB_1_010_133,47.554356,7.597837,761.3802561862857,630.0,0.0,19
HGB_1_010_134,47.554345,7.597891,765.5639987388312,3.0,0.0,25
HGB_1_010_135,47.554336,7.597937,769.1096958433734,0.5,0.015625,37
HGB_1_010_136,47.554321,7.598042,776.8744968363864,105.0,0.015873015873015872,28
HGB_1_010_137,47.554189,7.598317,801.9833819569993,2487.0,0.03333333333333333,13
HGB_1_010_138,47.554261,7.598236,792.9852303449111,,,1
HGB_1_010_139,47.554225,7.598523,814.134897238374,2145.5,0.06249999999999999,9
HGB_1_010_140,47.554201,7.598602,820.6742452162043,1434.0,0.08333333333333333,4
HGB_1_010_141,47.554182,7.598691,827.5992524228967,30.0,0.04,9
HGB_1_010_142,47.554164,7.598767,833.5956694511789,30.0,0.09999999999999999,9
HGB_1_010_143,47.554147,7.598877,841.9115997501343,250.0,0.0,12
HGB_1_010_144,47.554112,7.599033,854.1820747675599,96.0,0.19999999999999998,8
HGB_1_010_145,47.55407,7.599229,869.5206903545286,,,1
HGB_1_010_146,47.554044,7.599345,878.5934030956753,6000.0,0.0,5
HGB_1_010_147,47.554031,7.599419,884.3283668256714,6000.0,0.0,3
HGB_1_010_148,47.553995,7.599556,895.3083366224278,,,2
HGB_1_010_150,47.553954,7.599723,908.6668990716502,20.0,0.11916666666666666,53
HGB_1_010_151,47.553907,7.599929,924.8413494128231,6.0,0.41666666666666663,3
HGB_1_010_152,47.553927,7.599827,916.9975528305711,568.0,0.0,1
HGB_1_010_153,47.553907,7.599929,924.8413494128231,3513.5,0.0625,4
HGB_1_010_154,47.553892,7.599998,930.3142336209654,300.0,0.0,8
HGB_1_010_155,47.553859,7.600125,940.5483317333802,,,3
HGB_1_010_156,47.553887,7.600044,933.7138004290433,83.0,0.0,3
HGB_1_010_157,47.553807,7.600443,964.6737811381292,4094.0,0.09365079365079364,20
HGB_1_010_158,47.553778,7.600558,973.8950432396924,476.0,0.07765567765567766,16
HGB_1_010_159,47.553757,7.600652,981.2688473463342,662.0,0.0946078431372549,30
HGB_1_010_160,47.553724,7.60081,993.6547118148741,2105.0,0.12507936507936507,26
HGB_1_010_161,47.55368,7.600992,1008.1405997763978,1045.5,0.10654761904761904,24
HGB_1_010_162,47.553646,7.601159,1021.1727978482988,3.0,0.0,42
HGB_1_010_163,47.553613,7.601308,1032.8615549288486,3.0,0.0,26
HGB_1_010_164,47.553588,7.601452,1043.873628215733,3.0,0.0,26
HGB_1_010_165,47.553554,7.601589,1054.8990630984865,3.0,0.0,26
HGB_1_010_166,47.553512,7.601799,1071.2015807238195,8000.0,0.0,13
HGB_1_010_167,47.553464,7.602025,1088.9003167656886,8000.0,0.0,12
HGB_1_010_168,47.553391,7.602348,1114.4780276986935,2250.8333333333335,0.0,18
HGB_1_010_169,47.553347,7.602545,1129.9842696342316,2501.6666666666665,0.0,18
HGB_1_010_170,47.553287,7.602838,1152.8819197964363,2001.6666666666667,0.0,18
HGB_1_013_004,47.558188,7.586389,199.95234189702583,,,1
HGB_1_013_005,47.558153,7.586461,193.34302984924983,,,1
HGB_1_013_006,47.558087,7.58664,178.1149821399313,25.0,0.10782312925170068,71
HGB_1_013_008,47.558166,7.586032,223.60542465848437,30.0,0.06521739130434782,33
HGB_1_013_011,47.558277,7.586244,214.07701512184514,3161.5,0.0,23
HGB_1_013_012,47.558262,7.586407,202.3654498392532,200.0,0.0435672514619883,64
HGB_1_013_013,47.558256,7.586516,194.81566793871104,20.0,0.16733449477351917,50
HGB_1_013_014,47.55825,7.586585,189.97478410457495,3450.0,0.0,6
HGB_1_014_005,47.557776,7.590522,136.25527821141023,100.0,0.0,3
HGB_1_014_007,47.557716,7.59061,140.84472060246682,420.0,0.0,16
HGB_1_014_008,47.557969,7.59041,136.4177523925669,83.0,0.0,51
HGB_1_014_009,47.557922,7.590463,137.8036695116122,623.5,0.0,4
HGB_1_014_010,47.557891,7.590504,139.23006484142002,473.0,0.0,10
HGB_1_014_011,47.557891,7.590504,139.23006484142002,660.0,0.0,14
HGB_1_014_012,47.557891,7.590504,139.23006484142002,920.0,0.0,3
HGB_1_014_014,47.557829,7.590584,142.4839921038923,125.0,0.0,15
HGB_1_014_015,47.557829,7.590584,142.4839921038923,360.41666666666663,0.0,2
HGB_1_014_016,47.557829,7.590584,142.4839921038923,710.0,0.0,4
HGB_1_014_017,47.557829,7.590584,142.4839921038923,818.0,0.0,9
